id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
83663,190207,148905,2010-08-30 00:00:00,56,59,right,None,o,37,59,57,44,41,57,47,48,33,31,72,74,65,50,58,63,64,65,44,67,63,24,55,41,54,15,10,14,14,15,9,12,7
83668,192357,158201,2010-08-30 00:00:00,59,63,right,norm,ormal,60,43,38,59,39,56,49,47,57,58,68,65,61,56,63,57,54,53,65,44,47,64,36,39,49,63,62,62,9,13,10,12,8
83672,211322,358156,2016-02-11 00:00:00,60,70,right,medium,medium,51,32,57,57,32,50,52,34,54,52,65,65,65,50,66,55,74,66,54,45,45,57,33,34,57,64,67,68,4,3,4,4,4
83689,208004,304455,2016-05-05 00:00:00,78,82,right,medium,high,52,54,76,75,38,64,40,34,71,66,65,69,72,78,72,56,69,70,75,41,75,78,58,54,42,83,85,78,7,10,6,9,11
83718,186392,146830,2015-10-16 00:00:00,76,78,right,high,medium,73,46,75,77,33,64,43,34,72,70,75,76,66,73,63,70,66,77,78,63,74,77,64,68,40,80,80,78,8,7,7,10,11
83751,198649,195581,2013-10-11 00:00:00,61,73,right,high,medium,61,39,45,53,43,49,52,43,50,65,71,74,75,62,64,62,72,76,68,48,55,58,51,48,55,56,65,59,5,10,15,6,7
83755,158346,45922,2009-02-22 00:00:00,60,62,right,None,o,63,52,41,68,,52,,61,59,60,68,69,,66,,50,,66,64,51,54,60,55,,61,49,63,,14,20,59,20,20
83759,208123,293718,2015-03-06 00:00:00,64,68,left,medium,high,49,39,64,63,52,67,47,47,64,67,66,67,64,63,69,58,66,68,71,50,92,66,32,49,49,55,62,58,8,14,5,12,13
83772,215690,212166,2013-10-11 00:00:00,60,68,left,high,medium,61,38,48,60,25,64,58,62,59,62,68,71,61,52,68,51,56,57,61,35,56,55,45,42,35,60,65,67,12,13,7,6,15
83775,176003,148336,2012-02-22 00:00:00,64,67,right,high,low,56,57,37,62,53,69,53,56,57,67,79,75,82,62,82,57,69,61,45,60,37,27,59,55,52,26,30,27,6,9,8,7,7
83781,138193,24205,2016-04-21 00:00:00,75,75,right,medium,high,79,69,65,75,62,73,71,76,75,74,57,55,70,78,72,73,71,87,74,74,92,73,73,75,74,63,75,75,12,10,11,9,8
83811,208020,306655,2013-03-22 00:00:00,60,67,left,medium,medium,46,45,57,66,43,62,41,39,64,65,58,66,74,60,84,61,62,52,39,51,57,55,54,56,44,55,57,54,12,10,6,11,14
83817,47092,42573,2011-08-30 00:00:00,69,70,right,medium,medium,11,11,11,32,12,12,13,10,32,24,60,58,63,74,59,12,74,51,60,17,65,25,11,35,25,12,11,10,70,67,65,70,67
83825,228004,611526,2016-05-19 00:00:00,57,67,right,medium,medium,52,29,57,47,32,43,41,36,45,56,72,69,68,45,65,46,76,56,59,35,62,53,27,31,37,59,61,60,13,9,9,13,12
83834,189711,150240,2015-01-09 00:00:00,63,64,right,medium,medium,52,60,52,63,60,67,51,42,59,63,73,74,65,65,72,72,66,65,72,52,65,27,65,54,53,41,42,37,11,15,6,13,15
83847,167925,23931,2016-04-07 00:00:00,68,68,right,medium,high,65,47,66,67,56,64,64,37,64,66,53,50,59,70,66,48,71,76,71,39,78,66,57,60,59,74,76,75,15,7,8,8,10
83872,209701,248151,2015-12-17 00:00:00,68,74,right,medium,medium,53,37,61,76,32,67,49,47,70,71,69,68,73,58,83,53,70,66,54,41,69,73,56,66,50,63,71,61,15,14,8,8,14
83888,204510,466834,2016-03-17 00:00:00,67,75,right,medium,medium,70,61,38,67,62,70,80,62,60,73,68,66,80,62,72,49,67,62,30,71,38,29,56,67,30,12,20,24,15,16,14,14,9
83898,212570,113292,2015-04-10 00:00:00,63,67,right,high,high,43,62,64,62,32,55,40,44,57,63,48,42,62,66,52,79,74,86,83,67,80,64,66,59,62,48,59,57,7,10,8,6,14
83903,172141,110214,2016-03-10 00:00:00,72,72,left,medium,high,51,59,72,73,64,70,65,46,75,74,62,56,59,69,70,67,64,83,83,69,93,64,65,73,67,66,67,72,6,12,12,7,14
83924,186812,52490,2016-04-14 00:00:00,71,71,right,high,medium,67,66,60,68,70,77,65,55,60,74,86,87,77,69,65,82,75,74,81,55,78,34,65,60,61,51,43,42,13,13,12,14,6
83962,107320,37756,2016-05-05 00:00:00,71,71,left,medium,low,73,70,53,69,64,74,69,58,64,68,74,72,71,73,70,68,57,56,62,61,60,47,72,76,55,19,19,21,8,9,16,11,6
83983,199774,49269,2016-03-17 00:00:00,64,64,right,medium,medium,62,60,46,63,57,64,64,58,54,65,76,67,73,56,75,61,70,62,56,64,44,36,63,66,56,24,26,23,9,14,9,12,8
84005,181694,46704,2016-05-12 00:00:00,66,66,right,medium,medium,11,10,11,17,12,14,16,13,10,15,52,42,56,66,55,20,51,31,56,8,22,24,12,46,14,12,9,8,64,70,64,69,63
84024,50955,37567,2016-05-12 00:00:00,70,70,left,high,medium,66,62,50,73,64,69,37,67,69,74,74,75,80,63,85,66,39,79,62,65,81,43,65,75,77,52,49,41,13,14,12,10,13
84050,162893,30986,2016-04-28 00:00:00,76,76,right,medium,medium,46,35,78,71,34,60,42,39,68,64,65,74,51,76,37,42,66,55,87,28,74,78,44,46,48,75,78,73,16,15,13,7,14
